id,scientificName,commonName,taxonGroup,citesAppendix,euAnnex,nativeRangeCountries,possibleOriginCountries,transitCountries,reasonForInclusion,evidenceBasis,confidence,identificationNotes
taxon-lanthanotus-borneensis,Lanthanotus borneensis,Borneo earless monitor,lizard,II,B,"['Indonesia', 'Malaysia']","['Indonesia', 'Malaysia']","['Singapore', 'Thailand', 'United Arab Emirates']",historical trade concern,expert judgement,medium,Distinctive earless monitor; verify declared source and CITES/import documentation.
taxon-naultinus-spp,Naultinus spp.,New Zealand green geckos,gecko,II,B,['New Zealand'],['New Zealand'],"['Australia', 'Singapore']",historical trade concern,seizure news,medium,Bright green arboreal geckos; verify lawful origin and export permissions.
taxon-brachylophus-spp,Brachylophus spp.,Fiji iguanas,lizard,I,A,['Fiji'],['Fiji'],"['Australia', 'New Zealand']",conservation concern,historical trade concern,medium,Green iguanas with pale bands; confirm species identity and permits.
taxon-cuora-spp,Cuora spp.,Asian box turtles,turtle,II,B,"['China', 'Vietnam', 'Laos', 'Indonesia']","['China', 'Vietnam', 'Laos', 'Indonesia']","['Hong Kong', 'Thailand', 'Singapore']",high demand proxy group,historical trade concern,high,Box turtles; document shell pattern and verify source claims.
taxon-cuora-trifasciata,Cuora trifasciata,Golden coin turtle,turtle,II,B,"['China', 'Vietnam', 'Laos']","['China', 'Vietnam', 'Laos']","['Hong Kong', 'Thailand']",high demand turtle proxy,journalist report,high,Yellow-striped box turtle; recommended expert identification.
taxon-cuora-pani,Cuora pani,Pan's box turtle,turtle,II,B,['China'],['China'],['Hong Kong'],rare turtle proxy,expert judgement,medium,Rare box turtle; confirm species and documentation.
taxon-mauremys-nigricans,Mauremys nigricans,Red-necked pond turtle,turtle,II,B,"['China', 'Vietnam']","['China', 'Vietnam']","['Hong Kong', 'Thailand']",trade concern,historical trade concern,medium,Dark pond turtle with reddish neck; verify identity.
taxon-cordylus-spp,Cordylus spp.,Girdled lizards,lizard,II,B,"['South Africa', 'Namibia']","['South Africa', 'Namibia']","['United Arab Emirates', 'Netherlands']",proxy group,expert judgement,medium,Spiny girdled lizards; verify origin.
taxon-smaug-spp,Smaug spp.,Giant girdled lizards,lizard,II,B,['South Africa'],['South Africa'],"['United Arab Emirates', 'Netherlands']",proxy group,historical trade concern,medium,Large spiny cordylids; check source documentation.
taxon-ouroborus-spp,Ouroborus spp.,Armadillo girdled lizards,lizard,II,B,['South Africa'],['South Africa'],"['United Arab Emirates', 'Netherlands']",proxy group,expert judgement,medium,Armored lizards; confirm declared source.
taxon-uroplatus-spp,Uroplatus spp.,Leaf-tailed geckos,gecko,II,B,['Madagascar'],['Madagascar'],"['France', 'United Arab Emirates']",high demand gecko proxy,seller import mention,medium,Cryptic leaf-tailed geckos; verify export documents.
taxon-furcifer-spp,Furcifer spp.,Madagascar chameleons,chameleon,II,B,['Madagascar'],['Madagascar'],"['France', 'United Arab Emirates']",proxy group,historical trade concern,medium,Chameleons; check species and quota/source documentation.
taxon-varanus-prasinus,Varanus prasinus complex,Green tree monitor complex,lizard,II,B,"['Indonesia', 'Papua New Guinea']","['Indonesia', 'Papua New Guinea']","['Singapore', 'Thailand']",arboreal monitor proxy,attendee report,medium,Green arboreal monitors; verify locality/source claims.
taxon-varanus-salvadorii,Varanus salvadorii,Crocodile monitor,lizard,II,B,"['Papua New Guinea', 'Indonesia']","['Papua New Guinea', 'Indonesia']",['Singapore'],large monitor proxy,historical trade concern,medium,Large monitor; verify permits and safe handling.
taxon-cyclura-spp,Cyclura spp.,Rock iguanas,lizard,I/II,A/B,['Caribbean'],['Caribbean'],"['United States', 'Netherlands']",island endemic proxy,expert judgement,medium,Large rock iguanas; verify captive-bred claims.
taxon-lygodactylus-williamsi,Lygodactylus williamsi,Electric blue day gecko,gecko,I,A,['Tanzania'],['Tanzania'],"['United Arab Emirates', 'Netherlands']",high conservation concern,seizure news,high,Small bright blue gecko; high-priority verification.
