id,name,url,type,notes,confidence,lastCheckedDate,publicSafe
web-event-terraristika-hamm-0,Terraristika Hamm official event site,https://www.terraristikahamm.de/,official event site,Public-safe seed/demo source. Analysts should replace with lawful public OSINT references only.,high,2026-06-01,True
web-event-terraristika-hamm-1,Terraristika Hamm seller forum,https://example.org/public-demo/event-terraristika-hamm/1,seller forum,Public-safe seed/demo source. Analysts should replace with lawful public OSINT references only.,medium,2026-06-01,True
web-event-terraristika-hamm-2,Terraristika Hamm classified advert site,https://example.org/public-demo/event-terraristika-hamm/2,classified advert site,Public-safe seed/demo source. Analysts should replace with lawful public OSINT references only.,medium,2026-06-01,True
web-event-terraristika-hamm-3,Terraristika Hamm social media group,https://example.org/public-demo/event-terraristika-hamm/3,social media group,Public-safe seed/demo source. Analysts should replace with lawful public OSINT references only.,medium,2026-06-01,True
web-event-terraria-houten-0,Terraria Houten official event site,https://example.org/terraria-houten-public-demo,official event site,Public-safe seed/demo source. Analysts should replace with lawful public OSINT references only.,high,2026-06-01,True
web-event-terraria-houten-1,Terraria Houten seller forum,https://example.org/public-demo/event-terraria-houten/1,seller forum,Public-safe seed/demo source. Analysts should replace with lawful public OSINT references only.,medium,2026-06-01,True
web-event-terraria-houten-2,Terraria Houten classified advert site,https://example.org/public-demo/event-terraria-houten/2,classified advert site,Public-safe seed/demo source. Analysts should replace with lawful public OSINT references only.,medium,2026-06-01,True
web-event-terraria-houten-3,Terraria Houten social media group,https://example.org/public-demo/event-terraria-houten/3,social media group,Public-safe seed/demo source. Analysts should replace with lawful public OSINT references only.,medium,2026-06-01,True
web-event-prague-reptile-fair-0,Prague reptile/exotics fair official event site,https://example.org/prague-reptile-fair-public-demo,official event site,Public-safe seed/demo source. Analysts should replace with lawful public OSINT references only.,high,2026-06-01,True
web-event-prague-reptile-fair-1,Prague reptile/exotics fair seller forum,https://example.org/public-demo/event-prague-reptile-fair/1,seller forum,Public-safe seed/demo source. Analysts should replace with lawful public OSINT references only.,medium,2026-06-01,True
web-event-prague-reptile-fair-2,Prague reptile/exotics fair classified advert site,https://example.org/public-demo/event-prague-reptile-fair/2,classified advert site,Public-safe seed/demo source. Analysts should replace with lawful public OSINT references only.,medium,2026-06-01,True
web-event-prague-reptile-fair-3,Prague reptile/exotics fair social media group,https://example.org/public-demo/event-prague-reptile-fair/3,social media group,Public-safe seed/demo source. Analysts should replace with lawful public OSINT references only.,medium,2026-06-01,True
web-event-verona-reptiles-0,Verona Reptiles official event site,https://example.org/verona-reptiles-public-demo,official event site,Public-safe seed/demo source. Analysts should replace with lawful public OSINT references only.,high,2026-06-01,True
web-event-verona-reptiles-1,Verona Reptiles seller forum,https://example.org/public-demo/event-verona-reptiles/1,seller forum,Public-safe seed/demo source. Analysts should replace with lawful public OSINT references only.,medium,2026-06-01,True
web-event-verona-reptiles-2,Verona Reptiles classified advert site,https://example.org/public-demo/event-verona-reptiles/2,classified advert site,Public-safe seed/demo source. Analysts should replace with lawful public OSINT references only.,medium,2026-06-01,True
web-event-verona-reptiles-3,Verona Reptiles social media group,https://example.org/public-demo/event-verona-reptiles/3,social media group,Public-safe seed/demo source. Analysts should replace with lawful public OSINT references only.,medium,2026-06-01,True
web-event-narbc-tinley-0,NARBC Tinley Park official event site,https://example.org/narbc-tinley-public-demo,official event site,Public-safe seed/demo source. Analysts should replace with lawful public OSINT references only.,high,2026-06-01,True
web-event-narbc-tinley-1,NARBC Tinley Park seller forum,https://example.org/public-demo/event-narbc-tinley/1,seller forum,Public-safe seed/demo source. Analysts should replace with lawful public OSINT references only.,medium,2026-06-01,True
web-event-narbc-tinley-2,NARBC Tinley Park classified advert site,https://example.org/public-demo/event-narbc-tinley/2,classified advert site,Public-safe seed/demo source. Analysts should replace with lawful public OSINT references only.,medium,2026-06-01,True
web-event-narbc-tinley-3,NARBC Tinley Park social media group,https://example.org/public-demo/event-narbc-tinley/3,social media group,Public-safe seed/demo source. Analysts should replace with lawful public OSINT references only.,medium,2026-06-01,True
web-event-japan-reptiles-show-0,Japan Reptiles Show official event site,https://example.org/japan-reptiles-show-public-demo,official event site,Public-safe seed/demo source. Analysts should replace with lawful public OSINT references only.,high,2026-06-01,True
web-event-japan-reptiles-show-1,Japan Reptiles Show seller forum,https://example.org/public-demo/event-japan-reptiles-show/1,seller forum,Public-safe seed/demo source. Analysts should replace with lawful public OSINT references only.,medium,2026-06-01,True
web-event-japan-reptiles-show-2,Japan Reptiles Show classified advert site,https://example.org/public-demo/event-japan-reptiles-show/2,classified advert site,Public-safe seed/demo source. Analysts should replace with lawful public OSINT references only.,medium,2026-06-01,True
web-event-japan-reptiles-show-3,Japan Reptiles Show social media group,https://example.org/public-demo/event-japan-reptiles-show/3,social media group,Public-safe seed/demo source. Analysts should replace with lawful public OSINT references only.,medium,2026-06-01,True
web-event-canadian-rbe-0,Canadian Reptile Breeders Expo official event site,https://example.org/canadian-rbe-public-demo,official event site,Public-safe seed/demo source. Analysts should replace with lawful public OSINT references only.,high,2026-06-01,True
web-event-canadian-rbe-1,Canadian Reptile Breeders Expo seller forum,https://example.org/public-demo/event-canadian-rbe/1,seller forum,Public-safe seed/demo source. Analysts should replace with lawful public OSINT references only.,medium,2026-06-01,True
web-event-canadian-rbe-2,Canadian Reptile Breeders Expo classified advert site,https://example.org/public-demo/event-canadian-rbe/2,classified advert site,Public-safe seed/demo source. Analysts should replace with lawful public OSINT references only.,medium,2026-06-01,True
